index,department,organization,notice,company,part,apply_start,apply_end,object,overview,tag,filename,budget,deadline
0,세종특별자치시,직접수행,[세종] 전문인력 지원사업(신규 및 재심사)(2023년 2차 (예비)사회적기업 지정 및 재정지원 공고),사회적기업,인력,2023-05-26,2023-06-09,국내전문인력,"「세종특별자치시 사회적경제 육성 지원에 관한 조례」및「고용노동부 사회적기업 재정지원사업 지침」에 따라 2023년도 (예비)사회적기업 지정 및 재정지원사업(일자리창출, 전문인력, 사업개발비)을 다음과 같이 공고합니다.☞ 세종시 소재 유급근로자 1명 이상 고용한 고용노동부 인증 사회적기업 및 예비사회적기업(지역형, 부처형)☞ 1인당 월 250만원 한도 내 인건비 일부를 지원(인증사회적기업 기업당 최대 2명, 예비사회적기업 기업당 최대 1명)","인력,세종,사회적기업,예비사회적기업,직접수행,세종특별자치시,인건비,전문인력,인증사회적기업,2023,지역형,부처형,재심사",2023년 제2차 (예비)사회적기업 지정 및 재정지원 공고.hwp,1인당 월 250만원 /최대 2명,d-8
1,세종특별자치시,직접수행,[세종] 일자리창출 사업(신규 및 재심사)(2023년 2차 (예비)사회적기업 지정 및 재정지원 공고),사회적기업,인력,2023-05-26,2023-06-09,고용유지,"「세종특별자치시 사회적경제 육성 지원에 관한 조례」및「고용노동부 사회적기업 재정지원사업 지침」에 따라 2023년도 (예비)사회적기업 지정 및 재정지원사업(일자리창출, 전문인력, 사업개발비)을 다음과 같이 공고합니다.☞ 세종시 소재 유급근로자 1명 이상 고용한 고용노동부 인증 사회적기업 및 예비 사회적기업(지역형, 부처형)☞ 최저임금 수준 인건비 일부 지원","인력,경영,세종,사회적기업,예비사회적기업,직접수행,세종특별자치시,일자리창출,인건비,신규,2023,지역형,부처형,재심사,고용노동부인증",2023년 제2차 (예비)사회적기업 지정 및 재정지원 공고.hwp,지원금,d-8
2,경상북도,구미상공회의소,[경북] 구미시 2023년 2차 제조업 경쟁력 강화 핵심인재 지원 사업 모집 공고,중소기업,인력,2023-06-05,2023-06-09,고용유지,구미산단 제조업 R&amp;D 역량 강화와 연구인력 확보는 물론 정주여건개선 사업의 일환으로 「2023년 제조업 경쟁력 강화 핵심인재 지원 사업」을 다음과 같이 2023년부터 시범 추진하오니 구미산단 소재 기업 및 근로자의 많은 참여 바랍니다.☞ 공고일 기준 연구개발(R&amp;D) 분야에 종사 중인 근로자 및 종사 예정인 취업예정자가 속한 구미시 소재 제조업 영위 기업체☞ 지역 소재 제조업 경쟁력 강화를 위해 연구개발(R&amp;D) 분야 근로자의 주택 임차료(월 최대 30만원) 지원- 기업당 최대 2명 지원,"인력,경북,중소기업,R&D,제조업,경상북도,구미시,연구소,구미상공회의소,임차료,근로자,연구개발전담부서,2023,구미산단",2023년 제조업 경쟁력 강화 핵심인재 지원 사업 2차 모집 공고.hwp,월 30만원 /최대 2명,d-8
3,경상남도,창원산업진흥원,[경남] 2023년 신산업 기업체 청년 현장실습비 지원사업 신규 참여기업 추가모집 공고(신산업 연계 청년일자리 창출사업),중소기업,인력,2023-05-23,2023-06-01,국내일반인력,경상남도 창원시 관내 신산업 기업체 현장실습 지원을 통한 청년 직무체험 기회 제공 및 현장실습을 통한 역량 강화를 위한 신산업 연계 청년일자리 창출사업 「신산업 기업체 청년 현장실습비 지원사업」 신규 참여기업을 다음과 같이 추가모집하오니 많은 참여 바랍니다.☞ 창원시 소재 신산업 요건에 해당하는 중소기업(중소기업 확인증 발급)☞ 기업당 최대 3명까지 인건비 지원- 청년 1인당 현장실습 인건비 180만원/月 지원- 현장실습 참여자 정규직 전환 시 청년 1인당 540만원/1회 지원,"인력,경남,중소기업,제조업,청년,경상남도,창원시,창원산업진흥원,인건비,정보통신업,일자리으뜸기업,신산업,청년친화기업,현장실습,2023,장애인고용기업,정규직전환,전문과학,기술서비스업",[공고]신산업 연계 청년일자리 창출사업 현장실습 지원사업 추가 모집.hwp,1인당 180만원 /최대 3명,d-0
4,충청북도,청주상공회의소,[충북] 청주시ㆍ진천군ㆍ음성군 2023년 신성장산업(ICTㆍ바이오) 고용활성화 채용장려금 지원사업 시행 추가공고,중소기업,인력,2023-05-22,2023-12-31,고용유지,2023년「신성장산업(ICTㆍ바이오) 고용활성화 채용장려금」지원사업 시행에 대하여 다음과 같이 추가 공고합니다.☞ 컨소시엄(청주시ㆍ진천군ㆍ음성군) 지역의 ICTㆍ바이오 산업 또는 스마트IT 기업☞ 신규 채용 시 최대 800만원(기업당 최대 5명) 지원,"인력,충북,중소기업,충청북도,바이오,ICT,중견,청주상공회의소,신성장산업,채용장려금,청주시,음성군,진천군,2023,스마트IT산업",★채용장려금 추가 공고문.hwp,800만원 /최대 5명,d-213
5,대전광역시,대전테크노파크,2023년 인공지능(AI) 학습용데이터 제작사업 지원기업 모집 공고,중소기업,인력,2023-06-12,2023-06-13,국내일반인력,"지역에서 발생하는 다양한 데이터를 활용, AI 학습용 데이터 제작 스타트업 및 디지털 공공 일자리 창출을 위하여 「2023 인공지능 학습용 데이터 제작지원」 대상기업을 모집하오니 참여를 희망하는 기업은 신청해 주시기 바랍니다.☞ 대전소재 AI 학습데이터 제작이 가능한 기업 또는 기관- 공고일 현재 본사, 공장, 연구소 중 1개 이상이 대전광역시에 소재한 기업(기관)- 접수마감일 전까지 대전광역시에 본사, 공장, 연구소 중 1개 이상을 이전한 기업(기관)☞ 인공지능 융합ㆍ연계에 필요한 학습용데이터 제작 시 일부 사업비 지원※ 지원조건 : 일자리 지원으로 지원금액 10백만원 당 1명 고용 필수","기술,인력,경영,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,대전테크노파크,대전광역시,AI,인공지능,일자리창출,학습데이터,연계,융합,2023,소재지이전,데이터라벨러",지원기업_모집공고문.pdf,10백만원,d-12
6,산업통상자원부,한국산업기술진흥원,2023년 지역기업-청년 희망이음 지원사업 공고,중소기업,인력,2023-05-23,2023-06-22,국내일반인력,"2023년 「지역기업-청년 희망이음 지원사업」을 다음과 같이 공고하오니, 동 사업을 수행하고자 하는 기관은 절차에 따라 신청하여 주시기 바랍니다.☞ 해당 권역에 소재하는 지역혁신기관 또는 대응이 가능한 비영리기관(대학 포함)으로, 과제별 주관기관-참여기관 컨소시엄 구성☞ 총 5개 내외 선정 (초광역권 4개, 수도권 협력권 1개 내외) / 총 2,250백만원 (’23년, 국비 기준) 지원- 지역기업 인식개선 및 취업연계, 정책연계 프로그램 운영 등 지원- 권역별 2.5억원 + 인센티브 지원- 사업비(국비) 배분(안)에 따라 과제별 차등지급","인력,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,한국산업기술진흥원,산업통상자원부,청년,컨소시엄,비영리기관,인센티브,지역혁신기관,프로그램,취업연계,2023,지역기업,인식개선,기업탐방,희망이음,국비지원",2023년 지역기업-청년 희망이음 지원사업 공고문(안)(최종).hwp,"2,250백만원",d-21
7,전라북도,캠틱종합기술원,[전북] 익산시 2023년 다이로움 일자리 기업(일자리 우수기업) 인증사업 참여기업 모집 공고,중소기업,인력,2023-04-28,2023-12-25,작업환경개선,"캠틱종합기술원에서는 익산 지역내 우수 일자리 기업지원으로 우수일자리 홍보를 통한 지역내 청년 정착 및 지역내 구인난 해소를 목적으로「2023년 '다이로움' 일자리기업(일자리 우수기업)인증사업」을 운영하오니 익산시 입주기업들의 많은 관심과 참여 바랍니다.☞ 전북 익산시 입주기업☞ 재직자 근무환경을 개선하기 위한 개선 지원- 복지포인트 운영 등 재직자 복지, 쉼터ㆍ편의시설 설치 등 근무환경 개선, 재직자 교육, 출퇴근 등 지원- 단독기업 기업지원금 최대 10백만원 / 컨소시엄(최소 3개사) 기업지원금 최대 25백만원 지원","인력,전북,교육,전라북도,재직자,입주기업,복지,개선,캠틱종합기술원,근무환경,2023,익산시,편의시설,100인미만,다이로움,출퇴근,쉼터",[공고문]다이로움 일자리기업(일자리우수기업) 인증사업 참여기업 모집공고.hwp,10백만원,d-207
8,충청남도,직접수행,[충남] 2023년 장애인고용우수기업 지원사업 공고,중소기업,인력,2023-05-16,2023-06-09,고용환경개선,"충청남도에서는 장애인 고용이 우수한 지역 중소기업에게 인증서를 수여하고 인센티브를 지원하고자 2023년 충청남도 장애인고용우수기업 지원사업을 공모 하오니 관련 기업의 많은 신청 바랍니다.☞ 충청남도 내 소재 회사채에 대한 기업신용평가등급 CCC+ 초과하고, 장애인 상시노동자 고용률(3.1%) 이상인 중소기업☞ 기업당 노동환경개선금 20백만원 지원(1회), 기업홍보, 지방세 관련 세무조사 유예, 충남신용보증재단 일자리창출 지원 특례보증 등 지원","인력,충남,직접수행,충청남도,인센티브,인증서,2023,장애인고용,노동환경개선금,장애인상시노동자",2023년 충청남도 장애인고용우수기업 지원사업 공고문.hwp,20백만원,d-8
9,충청남도,직접수행,[충남] 2023년 고용우수기업 지원사업 공고,중소기업,인력,2023-05-16,2023-06-09,고용환경개선,"충청남도에서는 양질의 일자리 창출에 기여한 지역중소기업에게 인증서를 수여하고 인센티브를 지원하고자 '2023년 충청남도 고용우수기업 지원사업'을 공모하오니 관련 기업의 많은 신청 바랍니다.☞ 충청남도 내 소재 회사채에 대한 기업신용평가등급 CCC+ 초과하고, 상용노동자 고용률 증가(20% 이상) 또는 신규채용(5명 이상)한 중소기업☞ 기업당 노동환경개선금 20백만원 지원(1회),&nbsp; 기업홍보, 지방세 관련 세무조사 유예, 충남신용보증재단 일자리창출 지원 특례보증 등 지원","인력,충남,직접수행,충청남도,인센티브,인증서,2023,상용노동자고용,신규채용기업,노동환경개선금",2023년 충청남도 고용우수기업 지원사업 공고문.hwp,20백만원,d-8
